record_id,synthetic_label,name,type,operator,area,area_id,state,region,lat,lng,status,cash_availability,accessibility,road_access,source_type,scenario_label,data_label,notes
SYN-AP-0001,SYNTHETIC_RECORD,HDFC Bank ATM Delhi Zone 1,ATM,HDFC Bank,Delhi,DEL,Delhi,North,28.550895,77.252087,active,high,24x7,main_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0002,SYNTHETIC_RECORD,ICICI Bank ATM Delhi Zone 2,ATM,ICICI Bank,Delhi,DEL,Delhi,North,28.688777,77.28502,active,medium,24x7,residential_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0003,SYNTHETIC_RECORD,Union Bank ATM Delhi Zone 3,ATM,Union Bank,Delhi,DEL,Delhi,North,28.581182,77.290424,active,medium,24x7,rural_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0004,SYNTHETIC_RECORD,SBI ATM Delhi Zone 4,ATM,SBI,Delhi,DEL,Delhi,North,28.696147,77.211333,active,high,24x7,main_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0005,SYNTHETIC_RECORD,PNB ATM Delhi Zone 5,ATM,PNB,Delhi,DEL,Delhi,North,28.592057,77.134945,active,high,24x7,residential_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0006,SYNTHETIC_RECORD,Federal Bank ATM Delhi Zone 6,ATM,Federal Bank,Delhi,DEL,Delhi,North,28.597772,77.174019,active,high,24x7,main_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0007,SYNTHETIC_RECORD,HDFC Bank ATM Delhi Zone 7,ATM,HDFC Bank,Delhi,DEL,Delhi,North,28.579794,77.184213,active,medium,24x7,transit_hub,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0008,SYNTHETIC_RECORD,Federal Bank ATM Delhi Zone 8,ATM,Federal Bank,Delhi,DEL,Delhi,North,28.563692,77.218724,active,high,24x7,residential_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0009,SYNTHETIC_RECORD,Federal Bank ATM Delhi Zone 9,ATM,Federal Bank,Delhi,DEL,Delhi,North,28.672811,77.248319,active,high,24x7,residential_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0010,SYNTHETIC_RECORD,HDFC Bank ATM Delhi Zone 10,ATM,HDFC Bank,Delhi,DEL,Delhi,North,28.684249,77.164775,active,low,24x7,market_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0011,SYNTHETIC_RECORD,Canara Bank Branch Delhi Zone 1,Bank,Canara Bank,Delhi,DEL,Delhi,North,28.54649,77.226954,active,branch_cash_service,business_hours,residential_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0012,SYNTHETIC_RECORD,PNB Branch Delhi Zone 2,Bank,PNB,Delhi,DEL,Delhi,North,28.610575,77.217759,active,branch_cash_service,business_hours,main_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0013,SYNTHETIC_RECORD,Canara Bank Branch Delhi Zone 3,Bank,Canara Bank,Delhi,DEL,Delhi,North,28.624546,77.204031,active,branch_cash_service,business_hours,transit_hub,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0014,SYNTHETIC_RECORD,Canara Bank Branch Delhi Zone 4,Bank,Canara Bank,Delhi,DEL,Delhi,North,28.566769,77.23364,temporarily_unavailable,branch_cash_service,business_hours,market_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0015,SYNTHETIC_RECORD,Union Bank Branch Delhi Zone 5,Bank,Union Bank,Delhi,DEL,Delhi,North,28.587491,77.281303,active,branch_cash_service,business_hours,main_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0016,SYNTHETIC_RECORD,SBI ATM Mumbai Zone 1,ATM,SBI,Mumbai,MUM,Maharashtra,West,19.022009,72.846643,active,low,24x7,rural_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0017,SYNTHETIC_RECORD,Canara Bank ATM Mumbai Zone 2,ATM,Canara Bank,Mumbai,MUM,Maharashtra,West,19.034187,72.875919,active,medium,24x7,transit_hub,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0018,SYNTHETIC_RECORD,ICICI Bank ATM Mumbai Zone 3,ATM,ICICI Bank,Mumbai,MUM,Maharashtra,West,19.164506,72.849993,active,low,24x7,rural_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0019,SYNTHETIC_RECORD,PNB ATM Mumbai Zone 4,ATM,PNB,Mumbai,MUM,Maharashtra,West,19.163342,72.888203,temporarily_unavailable,none,24x7,rural_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0020,SYNTHETIC_RECORD,Canara Bank ATM Mumbai Zone 5,ATM,Canara Bank,Mumbai,MUM,Maharashtra,West,19.10165,72.861942,active,high,24x7,main_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0021,SYNTHETIC_RECORD,Union Bank ATM Mumbai Zone 6,ATM,Union Bank,Mumbai,MUM,Maharashtra,West,19.128931,72.792759,active,high,24x7,transit_hub,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0022,SYNTHETIC_RECORD,PNB ATM Mumbai Zone 7,ATM,PNB,Mumbai,MUM,Maharashtra,West,19.096391,72.926282,active,medium,24x7,residential_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0023,SYNTHETIC_RECORD,SBI ATM Mumbai Zone 8,ATM,SBI,Mumbai,MUM,Maharashtra,West,19.002787,72.851529,active,medium,24x7,rural_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0024,SYNTHETIC_RECORD,Union Bank ATM Mumbai Zone 9,ATM,Union Bank,Mumbai,MUM,Maharashtra,West,18.999736,72.938538,active,medium,24x7,transit_hub,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0025,SYNTHETIC_RECORD,Union Bank ATM Mumbai Zone 10,ATM,Union Bank,Mumbai,MUM,Maharashtra,West,19.121834,72.918376,active,high,24x7,market_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0026,SYNTHETIC_RECORD,Axis Bank Branch Mumbai Zone 1,Bank,Axis Bank,Mumbai,MUM,Maharashtra,West,19.10219,72.902327,temporarily_unavailable,branch_cash_service,business_hours,main_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0027,SYNTHETIC_RECORD,Union Bank Branch Mumbai Zone 2,Bank,Union Bank,Mumbai,MUM,Maharashtra,West,19.02957,72.791602,active,branch_cash_service,business_hours,residential_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
SYN-AP-0028,SYNTHETIC_RECORD,HDFC Bank Branch Mumbai Zone 3,Bank,HDFC Bank,Mumbai,MUM,Maharashtra,West,19.06316,72.934924,temporarily_unavailable,branch_cash_service,business_hours,residential_road,mock_osm_style,dense_metro,synthetic_mock_data,Synthetic India-wide access point for academic PoC.
